"AuthorName","COUNT(*)"
 h. p.derleth,1
 h.g. wells,2
 h.g. wells.,1
 h.i. phillips,1
 h.p.,2
 h.p. : derleth,2
 h.p. derleth,1
 h.p. lovecraft ,7
 h.p. ty derleth,1
 h.p./ derleth,1
 h.p.derleth,3
 hal ellson,1
 hank davis,1
 hanne ruus ,1
 hannes bok,5
 harding,1
 harlan / carter,3
 harlan / derleth,1
 harlan ellison,3
 harold c. fosse,1
 harold lawlor,1
 harold lawlor joseph conrad,1
 harold macgrath,1
 harriet beecher stowe,5
 harry / leinster,2
 harry collier,1
 harry edward soyster,1
 harry harrison,3
 harry walton,1
 harvey jacobs,1
 haskell barkin,1
 hazel heald,2
 heinrich seidel,1
 helen keller,3
 helen mcneil,5
 helena,1
 helena p.,1
 helena petrovna blavatsky ,1
 helena petrovna] murphet,2
 henrietta ripperger,1
 henry,2
 henry brook,1
 henry cecil spencer,3
 henry cooper,1
 henry david thoreau,3
 henry f. chambers,5
 henry gade,1
 henry hasse,1
 henry i. christ,3
 henry james,11
 henry kuttner,24
 henry l. shapiro,1
 henry lau,1
 henry slesar,3
 henry slesar),1
 henry wheaton,5
 herbert,1
 herman a. leader,1
 herman melville,1
 hg.: k. b.er,1
 highsmith,2
 hilda doolittle,11
 historian,1
 hogan smith,1
 horace gregory,1
 horace l. gold,1
 horace walpole,6
 howard,2
 howard c. hill,1
 howard e. butler,6
 howard goldsmith,1
 howard keel,1
 howard phillips,2
 howard phillips et derleth,1
 howard phillips lovecraft,4
 howard wandrei,1
 hubert stra�l,1
 hugh frazier parker,1
 hughes,1
 hugo,1
 hugo gernsback,1
 ignatius,25
 ignatius ) ridge,2
 ignatius : sykes,1
 ignatius.,1
 ignatius. sykes,2
 iii,3
 illus by,3
 illus john lawn,1
 illustrated,2
 illustrated by arthur rackham dickens,2
 illustrated by boris,1
 illustrated by cover art,1
 illustrated by don maitz,1
 illustrated by frazetta,1
 illustrated by grisha dotzenko.,1
 illustrated by joe mugnaini,1
 illustrated by joseph papin,1
 illustrated by kirk,1
 illustrated by luis dominguez,1
 illustrated by maitz,1
 illustrated by saul lambert,4
 illustrated by stanley william hayter,1
 illustrated byerico castellon,1
 illustrations by arthur shilstone,1
 illustrations by frank utpatel,1
 illustrator-f. van leeuwen,1
 illustrator-frank,3
 includes clark ashton smith,1
 intro.,4
 intro: george sterling.,1
 introduction by daniel b. dodson,1
 introduction by dixon wecter,1
 introduction by lin carter,1
 introduction by lin carter hyne,1
 introduction] heinlein,1
 irving cox jr.,1
 isaac ,1
 isaac asimov,17
 isaac asimov),2
 ivan / oliver,1
 ivan leroy hill,3
 j,1
 j. a.,1
 j. d. macdonald,1
 j. f. santee,1
 j. francis mccomas,4
 j. g. ballard,2
 j. g. milne ,1
 j. h. brennan,1
 j. loughran scott,1
 j. michael waller,1
 j. s. lefanu,9
 j. t. / st clair,2
 j. t. mcintosh,4
 j. w. schutz),1
 j.f. bone,1
 j.r.r. tolkien,1
 j.w. deforest,1
 jack,3
 jack bradley,2
 jack dann,1
 jack gantos,8
 jack lalanne,4
 jack london,6
 jack ritchie,1
 jack sharkey,2
 jack vance,10
 jacobi,1
 jacqueline barde,1
 jacques ,2
 jacques jean ferrat,1
 jakob,1
 jam,1
 james b,1
 james blish,4
 james branch,1
 james branch / lin carter,1
 james causey,1
 james e. novak,1
 james elroy flecker agatha christie,1
 james ferguson,1
 james gilbert,3
 james h. schmitz,1
 james kinsley,1
 james l. christiansenwilliam g. degenhardt,1
 james mckimmey,1
 james nagel,1
 james norman,1
 james novak,2
 james r stock,2
 james reach,1
 james russell lowell,1
 james steranko,2
 james sullivan chapman,1
 james thurber,3
 james tiptree,1
 james tiptree jr. ,1
 james v. taurasi,1
 james whitcomb riley,1
 james white,1
 jamie freveletti,1
 jan freeman,2
 jan smith,1
 jane austen,9
 jane langton,3
 jane yolen,3
 jean cox,1
 jean-patrick et manchette,1
 jeff jones,1
 jerry oltion,1
 jesse applegate,1
 jesse stuart,6
 jim,2
 jim cooke,1
 jim harmon,6
 jim ray bradbury,1
 jo pagano,1
 joan bauer,8
 joanna russ,3
 joanne curnutt,1
 john,7
 john / carter,4
 john baxter,6
 john blackader,1
 john brunner,5
 john c. barron.,1
 john c. peters ph.d.,7
 john crichton,1
 john crow ransom,1
 john d macdonald,4
 john d. macdonald,1
 john donne,1
 john f. kennedy,2
 john green,6
 john guandolo,1
 john j wallace,1
 john jakes,3
 john keats,14
 john kessel,2
 john kousgard sorensen,1
 john milton,1
 john mitford,1
 john noble,1
 john o'hara,1
 john polidori,8
 john r.,3
 john r. lawn,1
 john rackham,5
 john rankine,1
 john russell,2
 john russell fearn,1
 john thomas dygdon,3
 john varley,6
 john w. campbell jr.,1
 john w. owens,1
 john william polidori,1
 john wyndham,2
 john/carter,2
 johnathan / aitken george,1
 johnathan swift .,1
 johnson,3
 johnson thomas h.,1
 johnston / derleth,1
 jorgen / andersen,1
 joseph blotneritor],1
 joseph e. schmitz,1
 joseph green,2
 joseph h. kraus,1
 joseph heller,2
 joseph marceau,1
 joseph payne,1
 joseph payne brennan,2
 joseph payne brennan .,1
 joseph r. weintraub,3
 joseph). bulfinch,7
 josephine,1
 josh reynolds,2
 joy,5
 jr,2
 jr.,3
 jr. with stories by ray bradbury ,1
 judith,1
 judith conaway,2
 judy-lynn del reyitor],1
 jules verne,2
 julia borcherts,1
 julian may,1
 julius long,1
 karen haber,1
 karen ordahl kupperman,3
 karl martin nielsen ,1
 katharine hillard,2
 katherine augusta westcott tingley,1
 katherine furman,4
 katherine maclean,1
 katherine mansfield,1
 keenan wynn,1
 keith bennett,1
 keith laumer,2
 keith laumerrosel g brown,1
 keith roberts,2
 kelly jones,4
 kenneth / simak,1
 kerr,2
 kim stanley robinson,1
 kimberly raye,2
 kirk douglas,1
 knud michelsen.,2
 koertge,2
 kohlenberger,3
 kris,3
 kris neville,3
 kristian  lisse,1
 kurt von rachen aka l. ron hubbard,1
 l sprague de camp,1
 l sprague de camplin carter,1
 l sprague decamp,1
 l. a. / lloyd arthur eshback,1
 l. sprague,7
 l. sprague / byrne,1
 l. sprague / carter,1
 l. sprague de camp,15
 l. sprague de camp. lin carter,1
 l. sprague de camplin carter,2
 l. sprague decamp,1
 l. spraguecarter,3
 l. spragueflher pratt,1
 l. spraguelin carter,2
 l. spraguelin carter. boris vallejo,1
 l.forman,1
 l.l. foreman,1
 l.l.d,1
 l.lin,1
